"data","P","Tmax","Tmin",
1/1/00,13,30,20,
1/2/00,69,26.6,19,
1/3/00,30,21,17.8,
1/4/00,10,24,18,
1/5/00,12,22,20,
1/6/00,10,24.6,20,
1/7/00,19,27,17.8,
1/8/00,28,29.6,16.2,
1/9/00,0,31.2,16.8,
1/10/00,0,31,20,
1/11/00,0,31.6,19,
1/12/00,0,31.4,20,
1/13/00,2,28.4,19,
1/14/00,4,31,20,
1/15/00,10,31.8,19.8,
1/16/00,2,31,20,
1/17/00,3,32,20,
1/18/00,2,32,20,
1/19/00,0,31.8,21,
1/20/00,0,29.6,18,
1/21/00,0,28.2,16,
1/22/00,0,30,17,
1/23/00,0,29.8,15,
1/24/00,0,31.6,16,
1/25/00,2,32,19,
1/26/00,2,31.8,21,
1/27/00,7,27,17,
1/28/00,0,25,14,
1/29/00,0,27.2,12,
1/30/00,0,28,14,
1/31/00,0,30.2,18.2,
2/1/00,50,30,19.8,
2/2/00,19,23,19.4,
2/3/00,0,29.8,19,
2/4/00,3,28.2,20,
2/5/00,28,29.8,20,
2/6/00,0,30.6,19,
2/7/00,3,29.2,18,
2/8/00,0,27.6,19.2,
2/9/00,6,27,20.8,
2/10/00,9,28,20,
2/11/00,20,25,20,
2/12/00,20,24.4,20,
2/13/00,10,27,20,
2/14/00,16,23.2,21,
2/15/00,0,29.8,21,
2/16/00,0,31.8,19,
2/17/00,7,28.8,17,
2/18/00,5,21.8,14.8,
2/19/00,0,26.6,15,
2/20/00,0,29,16,
2/21/00,0,29,16.6,
2/22/00,0,30.8,18,
2/23/00,0,30.8,18.6,
2/24/00,0,29.6,18.8,
2/25/00,0,30.4,19.8,
2/26/00,0,31.8,18.8,
2/27/00,0,32,20,
2/28/00,0,31,18.8,
2/29/00,0,30.8,20,
3/1/00,5,31,19,
3/2/00,0,29.8,18.4,
3/3/00,0,30.6,18,
3/4/00,0,30.6,19,
3/5/00,0,31.2,20,
3/6/00,0,31,19.8,
3/7/00,0,32,20,
3/8/00,70,26.2,17,
3/9/00,0,26.8,15,
3/10/00,0,27,15.2,
3/11/00,1,28,18,
3/12/00,0,26,17,
3/13/00,0,27,13,
3/14/00,0,27.6,13,
3/15/00,0,29,18.6,
3/16/00,0,28.8,19.8,
3/17/00,10,30,20,
3/18/00,0,28.8,20,
3/19/00,2,28,17.8,
3/20/00,0,27.2,17.6,
3/21/00,0,25,18.8,
3/22/00,27,28.2,19.8,
3/23/00,9,29.2,19,
3/24/00,0,28.2,19,
3/25/00,5,31,18,
3/26/00,0,28.4,17.2,
3/27/00,23,30,18,
3/28/00,9,28.4,19.2,
3/29/00,95,27,18.2,
3/30/00,0,24,17.8,
3/31/00,8,26.6,17,
4/1/00,0,29.6,17,
4/2/00,0,29,17,
4/3/00,0,27.2,15.4,
4/4/00,0,26,14.4,
4/5/00,0,26.8,13,
4/6/00,0,27.8,14,
4/7/00,0,28.4,14.2,
4/8/00,0,29.2,15.2,
4/9/00,0,29.8,16,
4/10/00,0,30,15.8,
4/11/00,0,30,17,
4/12/00,0,30.4,16,
4/13/00,0,30.4,18,
4/14/00,0,30.6,17,
4/15/00,0,30.4,16,
4/16/00,0,29.8,15,
4/17/00,0,27.2,11,
4/18/00,0,29.8,18.6,
4/19/00,0,30.5,20.2,
4/20/00,3,27.2,16.8,
4/21/00,0,26.2,11.8,
4/22/00,0,25,11,
4/23/00,0,24.4,10.8,
4/24/00,0,26,10.8,
4/25/00,0,27.8,11,
4/26/00,0,27.6,11.4,
4/27/00,0,27.8,12.8,
4/28/00,0,28,13,
4/29/00,0,27.8,12,
4/30/00,0,28.2,13.8,
5/1/00,0,5.0,17,
5/2/00,0,3.0,19,
5/3/00,13,4.0,17,
5/4/00,0,6.0,16,
5/5/00,0,7.0,18,
5/6/00,0,5.0,18,
5/7/00,3,6.0,12.4,
5/8/00,0,7.0,11.8,
5/9/00,0,3.0,15,
5/10/00,0,6.0,9.8,
5/11/00,0,7.0,11,
5/12/00,0,3.0,10.8,
5/13/00,0,4.0,10,
5/14/00,0,5.0,10,
5/15/00,0,5.0,12,
5/16/00,0,4.0,15,
5/17/00,0,6.0,16,
5/18/00,0,6.0,9,
5/19/00,0,3.0,9,
5/20/00,0,3.0,9,
5/21/00,0,5.0,10,
5/22/00,0,6.0,9.8,
5/23/00,0,3.0,9,
5/24/00,0,7.0,10,
5/25/00,0,6.0,11.2,
5/26/00,0,7.0,12,
5/27/00,0,7.0,14,
5/28/00,0,7.0,13.8,
5/29/00,0,6.0,5,
5/30/00,0,5.0,5.2,
5/31/00,0,4.0,7,
6/1/00,0,7.0,14.8,
6/2/00,0,4.0,10.2,
6/3/00,0,8.0,9,
6/4/00,0,4.0,12,
6/5/00,0,7.0,11,
6/6/00,0,4.0,11,
6/7/00,0,8.0,11,
6/8/00,0,6.0,13,
6/9/00,0,7.0,12.8,
6/10/00,0,5.0,11.2,
6/11/00,0,4.0,12,
6/12/00,0,8.0,12,
6/13/00,0,4.0,12,
6/14/00,0,8.0,13,
6/15/00,0,5.0,13,
6/16/00,0,8.0,14.8,
6/17/00,0,8.0,15.2,
6/18/00,0,6.0,12,
6/19/00,0,6.0,18.2,
6/20/00,0,6.0,15,
6/21/00,5,8.0,14,
6/22/00,0,7.0,5,
6/23/00,0,8.0,5,
6/24/00,0,4.0,11.8,
6/25/00,0,6.0,15.8,
6/26/00,0,6.0,17,
6/27/00,0,8.0,15.2,
6/28/00,0,7.0,12,
6/29/00,0,7.0,16,
6/30/00,0,5.0,18,
7/1/00,2,15.0,10,
7/2/00,0,12.0,15.8,
7/3/00,0,10.0,15,
7/4/00,0,10.0,13.2,
7/5/00,0,13.0,9.4,
